slug,title,url,category,importance,confidence,reviewed_at,citation_count,open_check,lean,proof_score,disproof_score,difficulty,note,summary
cycle_double_cover_conjecture,Cycle double cover conjecture,http://www.openproblemgarden.org/op/cycle_double_cover_conjecture,Graph Theory > Basic Graph Theory > Cycles,Outstanding,high,2026-05-08,4,yes: full/general case open,balanced,2,2,5,"The Cycle Double Cover Conjecture remains open; no complete proof has been accepted by the mathematical community, and several claimed arXiv proofs (2012, 2015, 2018) were later found to contain errors.","The Cycle Double Cover Conjecture remains open; no complete proof has been accepted by the mathematical community, and several claimed arXiv proofs (2012, 2015, 2018) were later found to contain errors. Post-2007 progress includes a proof of Jaeger's directed version for lean fork-graphs, exponential lower bounds for the counting version for planar cubic graphs, and approximate results giving nontrivial upper bounds on singular edges in cubic graph embeddings."
cycle_double_covers_containing_predefined_2_regular_subgraphs,Cycle Double Covers Containing Predefined 2-Regular Subgraphs,http://www.openproblemgarden.org/op/cycle_double_covers_containing_predefined_2_regular_subgraphs,Graph Theory,High,medium,2026-05-08,2,"yes: classified partial, so a residual original question is open",balanced,1,1,5,The conjecture of Arthur and Hoffmann-Ostenhof asks whether every 2-connected cubic graph $G$ with a 2-regular subgraph $S$ such that $G-E(S)$ is connected has a cycle double cover containing all cycles of $S$.,"The conjecture of Arthur and Hoffmann-Ostenhof asks whether every 2-connected cubic graph $G$ with a 2-regular subgraph $S$ such that $G-E(S)$ is connected has a cycle double cover containing all cycles of $S$. The motivating paper of Hoffmann-Ostenhof, Zhang, and Zhang (Eur. J. Combin., 2019) established the special case where $S$ has at most 3 circuits and $G-E(S)$ is a spanning tree, and Li, Hao, Luo, and Zhang (Discrete Math., 2025) extended the single-cycle ($S=C$ non-separating) case by producing a 5-CDC or 6-CDC containing $C$ depending on Petersen-contractibility. The full conjecture as stated for arbitrary 2-regular $S$ appears to remain open."
cycles_in_graphs_of_large_chromatic_number,Cycles in Graphs of Large Chromatic Number,http://www.openproblemgarden.org/op/cycles_in_graphs_of_large_chromatic_number,Graph Theory > Coloring > Vertex coloring,Medium,high,2026-05-08,1,mixed: important cases solved; full problem open,balanced,2,1,3,"The $k=3$ case of the conjecture — every graph with $\chi(G)>3$ contains at least $4$ cycles of length $0\bmod 3$ — was fully resolved by Kim and Picollelli (2024), who proved that every 4-critical graph contains at lea…","The $k=3$ case of the conjecture — every graph with $\chi(G)>3$ contains at least $4$ cycles of length $0\bmod 3$ — was fully resolved by Kim and Picollelli (2024), who proved that every 4-critical graph contains at least 4 such cycles with equality only for $K_4$. They also showed that $(k+1)$-critical graphs with minimum degree $k$ contain at least as many cycles of length $0\bmod r$ as $K_{k+1}$ (provided $k+1\not\equiv 0\pmod{r}$), but the full conjecture for $k\ge 4$ remains open."
decomposing_a_connected_graph_into_paths,Decomposing a connected graph into paths.,http://www.openproblemgarden.org/op/decomposing_a_connected_graph_into_paths,Graph Theory > Basic Graph Theory > Paths,High,high,2026-05-08,4,mixed: important cases solved; full problem open,prove,4,1,3,Gallai's 1968 conjecture — that every connected graph on $n$ vertices decomposes into at most $\lceil n/2 \rceil$ paths — remains open in general.,"Gallai's 1968 conjecture — that every connected graph on $n$ vertices decomposes into at most $\lceil n/2 \rceil$ paths — remains open in general. Since the OPG posting date (2013) it has been verified for large families: graphs of maximum degree at most 5 (Bonamy–Perrett, 2016), graphs whose E-subgraph lies in a specific block family (Botler–Sambinelli, 2019), connected planar graphs except $K_3$ and $K_5^-$ (Blanché–Bonamy–Bonichon, 2021), and 2-degenerate graphs (Anto–Basavaraju, 2022). The full conjecture for all connected graphs is still unresolved."
decomposing_an_eulerian_graph_into_cycles,Decomposing an eulerian graph into cycles.,http://www.openproblemgarden.org/op/decomposing_an_eulerian_graph_into_cycles,Graph Theory > Basic Graph Theory > Cycles,Medium,high,2026-05-08,3,yes: full/general case open,prove,4,1,2,Hajós' 1968 conjecture — that every simple Eulerian graph on $n$ vertices decomposes into at most $\lfloor (n-1)/2 \rfloor$ cycles — is still open in general.,"Hajós' 1968 conjecture — that every simple Eulerian graph on $n$ vertices decomposes into at most $\lfloor (n-1)/2 \rfloor$ cycles — is still open in general. Since the OPG posting date (2013), it has been verified for several restricted classes: graphs of treewidth at most 3 (Botler–Sambinelli–Coelho–Lee, 2017), Eulerian graphs of pathwidth at most 6 (Fuchs–Gellert–Heinrich, 2017), and computationally for all Eulerian graphs of order at most 12 (Heinrich–Natale–Streicher, 2017). Approximate versions in dense graphs and progress on the closely related Erdős–Gallai cycle decomposition problem (Bucić–Montgomery, 2022) have also appeared."
decomposing_an_even_tournament_in_directed_paths,Decomposing an even tournament in directed paths.,http://www.openproblemgarden.org/op/decomposing_an_even_tournament_in_directed_paths,Graph Theory > Directed Graphs > Tournaments,High,high,2026-05-08,2,mixed: important cases solved; full problem open,prove,4,1,3,"The Alspach–Mason–Pullman conjecture has been proved for all sufficiently large even tournaments by Girão, Granet, Kühn, Lo, and Osthus (2023), who showed any such tournament decomposes into exactly $\mathrm{ex}(T) = \f…","The Alspach–Mason–Pullman conjecture has been proved for all sufficiently large even tournaments by Girão, Granet, Kühn, Lo, and Osthus (2023), who showed any such tournament decomposes into exactly $\mathrm{ex}(T) = \frac{1}{2}\sum_{v}|d^+(v)-d^-(v)|$ directed paths; they also obtained an asymptotically optimal result for odd tournaments. An earlier paper of Lo, Patel, Skokan, and Talbot (2020) had proved many specific cases of the conjecture. The conjecture for all even tournaments (including small orders) remains open."
decomposing_eulerian_graphs,Decomposing eulerian graphs,http://www.openproblemgarden.org/op/decomposing_eulerian_graphs,Graph Theory > Basic Graph Theory > Cycles,High,medium,2026-05-08,1,mixed: important cases solved; full problem open,balanced,2,1,4,The conjecture that every 6-edge-connected Eulerian graph $G$ with a 2-transition system $P$ admits a compatible decomposition remains open.,"The conjecture that every 6-edge-connected Eulerian graph $G$ with a 2-transition system $P$ admits a compatible decomposition remains open. Since posting, Fleischner, Bagheri Gh., C.-Q. Zhang, and Z. Zhang (2019) completely resolved the conjecture for the class of $K_5$-transition-minor-free Eulerian graphs, extending the earlier Fan–Zhang result for $K_5$-minor-free graphs. No improvement on the 80-edge-connectivity bound (the best general result at posting) appears in the verified literature."
decomposing_k_arc_strong_tournament_into_k_spanning_strong_digraphs,Decomposing k-arc-strong tournament into k spanning strong digraphs,http://www.openproblemgarden.org/op/decomposing_k_arc_strong_tournament_into_k_spanning_strong_digraphs,Graph Theory > Directed Graphs > Tournaments,Medium,medium,2026-05-08,1,mixed: important cases solved; full problem open,balanced,2,1,3,The conjecture that every $k$-arc-strong tournament decomposes into $k$ spanning strong digraphs remains open.,The conjecture that every $k$-arc-strong tournament decomposes into $k$ spanning strong digraphs remains open. The best known partial result from Bang-Jensen and Yeo (2004) covers $k$-arc-strong tournaments with minimum in- and out-degree at least $37k$. Post-2013 work has extended arc-disjoint strong spanning subdigraph results to broader classes (semicomplete compositions) but has not resolved the original conjecture for tournaments.
degenerate_colorings_of_planar_graphs,Degenerate colorings of planar graphs,http://www.openproblemgarden.org/op/degenerate_colorings_of_planar_graphs,Graph Theory > Topological Graph Theory > Coloring,High,high,2026-05-08,1,yes: full/general case open,balanced,2,1,4,Borodin's conjecture that every planar graph has a degenerate 5-coloring remains open.,"Borodin's conjecture that every planar graph has a degenerate 5-coloring remains open. The most significant post-2008 progress is the formal proof by Kierstead, Mohar, Spacapan, Yang, and Zhu (2009) that the two-coloring number of any planar graph is at most 8, from which it follows that the degenerate list chromatic number of every planar graph is at most 9. No further improvement to this bound or resolution of the conjecture has been found in the literature through 2025."
directed_cycle_of_length_twice_the_minimum_outdegree,Directed path of length twice the minimum outdegree,http://www.openproblemgarden.org/op/directed_cycle_of_length_twice_the_minimum_outdegree,Graph Theory > Directed Graphs,High,high,2026-05-08,2,mixed: related claim/variant false; residual problem open,balanced,3,4,4,Thomassé's conjecture — every oriented graph with minimum outdegree $k$ contains a directed path of length $2k$ — remains open.,"Thomassé's conjecture — every oriented graph with minimum outdegree $k$ contains a directed path of length $2k$ — remains open. Cheng and Keevash (2024) proved the first non-trivial lower bound: every oriented graph with minimum outdegree $\delta$ contains a directed path of length $\frac{3}{2}\delta$, leaving a gap to the conjectured $2\delta$. The stronger generalisation to digraphs with girth $g \geq 4$ was disproved by counterexamples, but the $g=3$ (oriented-graph) case is still open."
do_any_three_longest_paths_in_a_connected_graph_have_a_vertex_in_common,Do any three longest paths in a connected graph have a vertex in common?,http://www.openproblemgarden.org/op/do_any_three_longest_paths_in_a_connected_graph_have_a_vertex_in_common,Graph Theory,Medium,high,2026-05-08,2,yes: full/general case open,prove,3,1,3,Gallai's 1966 conjecture that any three longest paths in a connected graph share a common vertex remains open in general.,"Gallai's 1966 conjecture that any three longest paths in a connected graph share a common vertex remains open in general. Meaningful partial results confirm the conjecture for specific graph classes (series-parallel, outerplanar, split, $H$-free graphs with linear-forest $H$), and a 2025 paper improves the best known bound on the minimum vertex set hitting all longest paths to $O(\sqrt{n})$. An attempted general proof (arXiv:2006.16245, 2020) was withdrawn by its author as erroneous."
does_the_symmetric_chromatic_function_distinguish_trees,Does the chromatic symmetric function distinguish between trees?,http://www.openproblemgarden.org/op/does_the_symmetric_chromatic_function_distinguish_trees,Graph Theory > Algebraic Graph Theory,Medium,high,2026-05-08,5,mixed: important cases solved; full problem open,prove,5,2,3,Stanley's 2009 conjecture that non-isomorphic trees have distinct chromatic symmetric functions remains open in general.,"Stanley's 2009 conjecture that non-isomorphic trees have distinct chromatic symmetric functions remains open in general. Substantial partial progress has been made: the conjecture is now established for caterpillars, spiders, 2-spiders, trees of diameter less than 5, and trees with exactly two vertices of degree $\geq 3$, and has been verified computationally for all trees on up to 29 vertices. The chromatic symmetric function is also known to determine each tree's generalized degree sequence (Crew's conjecture, now proved), but no two non-isomorphic trees sharing the same chromatic symmetric function have been found."
domination_in_plane_triangulations,Domination in plane triangulations,http://www.openproblemgarden.org/op/domination_in_plane_triangulations,Graph Theory > Topological Graph Theory,Medium,high,2026-05-08,4,mixed: important cases solved; full problem open,prove,4,1,2,The Matheson–Tarjan conjecture that every sufficiently large plane triangulation has a dominating set of size at most $n/4$ remains open.,"The Matheson–Tarjan conjecture that every sufficiently large plane triangulation has a dominating set of size at most $n/4$ remains open. The general upper bound has been steadily improved from $n/3$ to $17n/53$ (Špaçapan 2020) and then to $2n/7 \approx 0.286n$ (Christiansen–Rotenberg–Rutschmann 2023), while the full $n/4$ bound has been confirmed for the special case of plane triangulations with maximum degree at most 6 (King–Pelsmajer 2010)."
double_critical_graph_conjecture,Double-critical graph conjecture,http://www.openproblemgarden.org/op/double_critical_graph_conjecture,Graph Theory > Coloring > Vertex coloring,Medium,high,2026-05-08,5,yes: full/general case open,prove,4,1,2,The conjecture that $K_n$ is the only $n$-chromatic double-critical graph remains open for $n \geq 6$ in general.,"The conjecture that $K_n$ is the only $n$-chromatic double-critical graph remains open for $n \geq 6$ in general. Substantial partial progress has been made since the OPG posting: the conjecture is now verified for claw-free graphs with chromatic number $t \leq 8$, and every double-critical $t$-chromatic graph is known to contain a $K_t$ minor for all $t \leq 9$."
drawing_disconnected_graphs_on_surfaces,Drawing disconnected graphs on surfaces,http://www.openproblemgarden.org/op/drawing_disconnected_graphs_on_surfaces,Graph Theory > Topological Graph Theory > Crossing numbers,Medium,high,2026-05-08,1,mixed: important cases solved; full problem open,prove,3,1,3,"Since the problem was posted, the conjecture has been proved for the Klein bottle by Beaudou, Gerbaud, Grappe, and Palesi (2010): every optimal drawing of a disconnected graph on the Klein bottle draws the connected com…","Since the problem was posted, the conjecture has been proved for the Klein bottle by Beaudou, Gerbaud, Grappe, and Palesi (2010): every optimal drawing of a disconnected graph on the Klein bottle draws the connected components disjointly. The conjecture thus holds for the plane (trivially), the projective plane (DeVos–Mohar–Šámal, pre-posting), and the Klein bottle, but remains open for the torus and all other surfaces. A 2015 extended abstract by Cabello, Mohar, and Šámal reports a partial result for the torus by reducing the problem to a question in the geometry of numbers, but the torus case is not fully resolved."
earth_moon_problem,Earth-Moon Problem,http://www.openproblemgarden.org/op/earth_moon_problem,Graph Theory > Coloring > Vertex coloring,Medium,high,2026-05-08,2,mixed: related claim/variant false; residual problem open,balanced,2,3,3,The Earth–Moon problem—finding the maximum chromatic number of a biplanar graph (union of two planar graphs)—remains open with bounds $9 \leq \chi \leq 12$ unchanged since the problem was posted.,"The Earth–Moon problem—finding the maximum chromatic number of a biplanar graph (union of two planar graphs)—remains open with bounds $9 \leq \chi \leq 12$ unchanged since the problem was posted. In 2023, Eppstein disproved Gethner's conjecture that 2-blowups of planar graphs are always biplanar, using iterated Kleetopes as counterexamples; and Kirchweger, Scheucher, and Szeider used SAT-based methods to show that at least one of Gethner's proposed 10-chromatic candidate graphs is not biplanar."
erdos_faber_lovasz_conjecture,Erdős–Faber–Lovász conjecture,http://www.openproblemgarden.org/op/erdos_faber_lovasz_conjecture,Graph Theory > Coloring > Vertex coloring,High,high,2026-05-07,3,mixed: important cases solved; full problem open,prove,5,1,3,"Kang, Kelly, Kühn, Methuku, and Osthus proved the conjecture for all sufficiently large $k$ in a landmark paper published in the Annals of Mathematics (2023), settling the problem asymptotically after 50 years.","Kang, Kelly, Kühn, Methuku, and Osthus proved the conjecture for all sufficiently large $k$ in a landmark paper published in the Annals of Mathematics (2023), settling the problem asymptotically after 50 years. For small values of $k$, the conjecture remains open; SAT-based methods (Kirchweger, Peitl, Szeider, 2023) have extended computational verification to further finite cases but do not cover all remaining instances."
exact_colorings_of_graphs,Exact colorings of graphs,http://www.openproblemgarden.org/op/exact_colorings_of_graphs,Graph Theory,Medium,medium,2026-05-08,3,mixed: related claim/variant false; residual problem open,balanced,3,3,3,"Beyond the Stacey-Weidl (1999) result that $P(c,m)$ fails for $c$ sufficiently large compared to $m\geq 3$, Narayanan (2014) gave a quantitative refinement showing that in any exact $k$-coloring of the edges of $K_{\mat…","Beyond the Stacey-Weidl (1999) result that $P(c,m)$ fails for $c$ sufficiently large compared to $m\geq 3$, Narayanan (2014) gave a quantitative refinement showing that in any exact $k$-coloring of the edges of $K_{\mathbb N}$, the set of values $m$ for which an exactly $m$-colored complete infinite subgraph exists has size at least $\sqrt{2k}$, and this bound is tight for infinitely many $k$. Kittipassorn and Narayanan (2014, 2015) further proved a canonical Ramsey theorem answering related questions of Stacey and Weidl and an approximate version for hypergraphs. The original Erickson `if and only if' conjecture for the full range $3\leq m<c$ remains open in general."
forcing_a_k_6_minor,Forcing a $K_6$-minor,http://www.openproblemgarden.org/op/forcing_a_k_6_minor,Graph Theory > Basic Graph Theory > Minors,Medium,medium,2026-05-08,3,mixed: important cases solved; full problem open,prove,3,1,3,Both Barát-Joret-Wood conjectures (every graph with minimum degree $\geq 7$ contains a $K_6$ minor; every 7-connected graph contains a $K_6$ minor) remain open in general.,"Both Barát-Joret-Wood conjectures (every graph with minimum degree $\geq 7$ contains a $K_6$ minor; every 7-connected graph contains a $K_6$ minor) remain open in general. The 7-connected version is known to hold for sufficiently large graphs via the Kawarabayashi-Norine-Thomas-Wollan proof of Jørgensen's conjecture for large graphs (papers posted shortly after the OPG entry, formally published in 2018). Chudnovsky, Scott, Seymour and Spirkl (2024) proved the bipartite analogue: every bipartite graph with minimum degree $\geq 6$ has a $K_6$ minor."
frankls_union_closed_sets_conjecture,Frankl's union-closed sets conjecture,http://www.openproblemgarden.org/op/frankls_union_closed_sets_conjecture,Graph Theory > Hypergraphs,Medium,high,2026-05-08,6,mixed: important cases solved; full problem open,prove,4,1,2,"Frankl's union-closed conjecture remains open, but the period 2022–2023 brought a landmark breakthrough: Gilmer established the first constant lower bound (≥ 0.01) using an entropy method, and within days Alweiss–Huang–…","Frankl's union-closed conjecture remains open, but the period 2022–2023 brought a landmark breakthrough: Gilmer established the first constant lower bound (≥ 0.01) using an entropy method, and within days Alweiss–Huang–Sellke and Sawin independently improved this to $(3-\sqrt{5})/2 \approx 0.382$. Further refinements by Cambie and Liu raised the bound to approximately $0.38271$, but the conjectured threshold of $1/2$ has not been reached."
friendly_partitions,Friendly partitions,http://www.openproblemgarden.org/op/friendly_partitions,Graph Theory > Basic Graph Theory,Medium,high,2026-05-08,4,mixed: important cases solved; full problem open,prove,3,1,3,DeVos's question (equivalent to the internal-partition conjecture for $r$-regular graphs) remains open in full generality.,"DeVos's question (equivalent to the internal-partition conjecture for $r$-regular graphs) remains open in full generality. Ban and Linial (2013) proved the conjecture for $r=6$ and exhibited new families of regular graphs without internal partitions; the cubic and 4-regular cases were already essentially known. The 5-regular case is still open as a deterministic statement, but Bärnkopf, Nagy and Paulovics (2024) settled it for 5-regular abelian Cayley graphs, and Csóka, Fekete, Nagy and Szemerédi (2025) showed that random 5-regular graphs a.a.s. admit an internal partition."
good_edge_labelings,Good Edge Labelings,http://www.openproblemgarden.org/op/good_edge_labelings,Graph Theory > Coloring > Labeling,Medium,medium,2026-05-08,2,mixed: important cases solved; full problem open,balanced,2,2,3,The two open problems — characterising the maximum edge density of good-edge-labelable graphs and the conjecture on finitely many critical graphs with average degree below $c < 4$ — remain unresolved.,"The two open problems — characterising the maximum edge density of good-edge-labelable graphs and the conjecture on finitely many critical graphs with average degree below $c < 4$ — remain unresolved. Mehrabian (2012) established that bad graphs with arbitrarily large girth exist (disproving a naive girth-threshold hope), and showed that any good nearly-regular $n$-vertex graph has at most $n^{1+o(1)}$ edges, giving a partial answer to the density question. A 2024 paper initiates a parameterized-complexity study of the decision problem but does not address the extremal conjectures."
graceful_tree_conjecture,Graceful Tree Conjecture,http://www.openproblemgarden.org/op/graceful_tree_conjecture,Graph Theory > Coloring > Labeling,High,high,2026-05-08,3,mixed: important cases solved; full problem open,prove,3,1,4,The Graceful Tree Conjecture remains open.,"The Graceful Tree Conjecture remains open. The strongest progress since the OPG posting (2007) is asymptotic: Adamaszek, Allen, Grosu and Hladky (2016, arXiv:1608.01577) proved that almost all trees admit an 'almost graceful' labelling using vertex labels in $\{1,\dots,(1+c)n\}$, and Letzter, Pokrovskiy and Williams (2025, arXiv:2511.11331) showed that every sufficiently large tree on $n$ vertices has gracesize $\ge (1-\varepsilon)n$, i.e. an asymptotic version of the conjecture. A claimed full proof by Gnang (arXiv:2202.03178, 2022) is an unpublished preprint flagged by arXiv for text overlap and has not been verified by the community."
grahams_conjecture_on_tree_reconstruction,Graham's conjecture on tree reconstruction,http://www.openproblemgarden.org/op/grahams_conjecture_on_tree_reconstruction,Graph Theory > Basic Graph Theory,Medium,high,2026-05-08,2,yes: full/general case open,prove,3,1,3,Graham's conjecture remains open.,"Graham's conjecture remains open. Cooper, Kay, and Swifton (arXiv 2011, J. Combinatorics 2018) showed that the number of trees on $n$ vertices distinguishable by their Graham sequence is at least $e^{\Omega((\log n)^{3/2})}$, by constructing many caterpillars via the Prouhet-Tarry-Escott problem; this gives a strong lower bound but does not resolve the conjecture. Weatherspoon and Zeilberger (2025, experimental note) computationally verified the conjecture for all trees up to 11 vertices, with partial verification up to 16 vertices."
graphs_with_a_forbidden_induced_tree_are_chi_bounded,Graphs with a forbidden induced tree are chi-bounded,http://www.openproblemgarden.org/op/graphs_with_a_forbidden_induced_tree_are_chi_bounded,Graph Theory > Coloring > Vertex coloring,High,high,2026-05-08,2,yes: full/general case open,balanced,2,1,4,The Gyárfás–Sumner conjecture remains open in full generality for all trees.,"The Gyárfás–Sumner conjecture remains open in full generality for all trees. Significant recent progress includes Nguyen, Scott, and Seymour (2024) proving that every $H$-free graph (for any forest $H$) with bounded clique number has a stable set of size $|G|^{1-o(1)}$ (near-linear), and Davies and Yuditsky (2024) proving the polynomial version of the conjecture for intersection graphs of axis-aligned boxes (bounded boxicity)."
hamilton_cycle_in_small_d_diregular_graphs,Hamilton cycle in small d-diregular graphs,http://www.openproblemgarden.org/op/hamilton_cycle_in_small_d_diregular_graphs,Graph Theory > Directed Graphs,Medium,high,2026-05-08,2,mixed: important cases solved; full problem open,balanced,2,1,3,"Lo, Patel, and Yıldız proved an approximate version of Jackson's conjecture in 2022 (every $d$-regular oriented graph on $n > n_0$ vertices with $d \geq (1/4+\varepsilon)n$ has a Hamilton cycle).","Lo, Patel, and Yıldız proved an approximate version of Jackson's conjecture in 2022 (every $d$-regular oriented graph on $n > n_0$ vertices with $d \geq (1/4+\varepsilon)n$ has a Hamilton cycle). Their 2023 follow-up establishes Jackson's conjecture itself for sufficiently large $n$: there exists $n_0$ such that every $d$-regular oriented graph on $n \geq n_0$ vertices with $n \leq 4d+1$ has a Hamilton cycle. The original conjecture for all $d > 2$ (including small values) remains open."
decomposing_the_prism_of_a_3_connected_cubic_planar_graphs_in_hamilton_cycles,Hamilton decomposition of prisms over 3-connected cubic planar graphs,http://www.openproblemgarden.org/op/decomposing_the_prism_of_a_3_connected_cubic_planar_graphs_in_hamilton_cycles,Graph Theory > Basic Graph Theory > Cycles,Medium,high,2026-05-08,1,yes: full/general case open,prove,3,1,3,The Alspach–Rosenfeld conjecture that every prism $G\square K_2$ over a 3-connected cubic planar graph $G$ decomposes into two Hamilton cycles remains open in full generality.,"The Alspach–Rosenfeld conjecture that every prism $G\square K_2$ over a 3-connected cubic planar graph $G$ decomposes into two Hamilton cycles remains open in full generality. Significant partial results were established before the posting (bipartite planar cubic graphs, duals of kleetopes). After the 2013 posting, Rosenfeld and Xiang (2015) extended the family of confirmed cases to include prisms over cubic Halin graphs, cubic generalized Halin graphs of order $4k+2$, and several further infinite families."
hamiltonian_cycles_in_line_graphs,Hamiltonian cycles in line graphs,http://www.openproblemgarden.org/op/hamiltonian_cycles_in_line_graphs,Graph Theory > Basic Graph Theory > Cycles,High,high,2026-05-08,3,mixed: important cases solved; full problem open,prove,4,1,3,Thomassen's conjecture that every 4-connected line graph is Hamiltonian remains open.,"Thomassen's conjecture that every 4-connected line graph is Hamiltonian remains open. Partial progress includes lowering the sufficient connectivity threshold: any 5-connected line graph with minimum degree at least 6 is Hamiltonian (Kaiser–Vrána), and several equivalent reformulations have been established. The conjecture is also equivalent to the Matthews–Sumner conjecture (every 4-connected claw-free graph is Hamiltonian), and both remain unresolved."
hamiltonian_cycles_in_line_graphs_of_infinite_graphs,Hamiltonian cycles in line graphs of infinite graphs,http://www.openproblemgarden.org/op/hamiltonian_cycles_in_line_graphs_of_infinite_graphs,Graph Theory > Infinite Graphs,Medium,medium,2026-05-08,2,mixed: important cases solved; full problem open,prove,3,1,3,"The conjecture has seen partial progress on Part 1: Florian Lehner proved (arXiv:1109.6787, JCTB 2014) that the line graph of every locally finite, highly edge-connected graph (≥6-edge-connected, in the sense of the end…","The conjecture has seen partial progress on Part 1: Florian Lehner proved (arXiv:1109.6787, JCTB 2014) that the line graph of every locally finite, highly edge-connected graph (≥6-edge-connected, in the sense of the end-faithful spanning tree packing result) has a Hamiltonian circle, extending the classical finite result; this is a weakening of the 4-edge-connected threshold asked in the conjecture. Part 2 (4-connected line graph implies Hamiltonian) remains widely open even for finite graphs, and Part 1 in its full 4-edge-connected form is still open."
hamiltonian_paths_and_cycles_in_vertex_transitive_graphs,Hamiltonian paths and cycles in vertex transitive graphs,http://www.openproblemgarden.org/op/hamiltonian_paths_and_cycles_in_vertex_transitive_graphs,Graph Theory > Algebraic Graph Theory,High,high,2026-05-08,4,mixed: important cases solved; full problem open,prove,4,1,3,The Lovász problem remains open in general.,"The Lovász problem remains open in general. Since 2007, significant partial results have been established: all Kneser graphs (except the Petersen graph) are Hamiltonian (Merino–Mütze–Namrata, STOC 2023), and the best-known lower bound on cycle length in connected vertex-transitive graphs has been improved to $\Omega(n^{13/21})$ (Groenland et al., 2024). A 2024 preprint claims a proof for the odd-order case, but it has not appeared in a peer-reviewed venue. The full conjecture—does every connected vertex-transitive graph have a Hamiltonian path?—remains open."
hamiltonicity_of_cayley_graphs,Hamiltonicity of Cayley graphs,http://www.openproblemgarden.org/op/hamiltonicity_of_cayley_graphs,Graph Theory > Basic Graph Theory > Cycles,High,high,2026-05-08,3,mixed: important cases solved; full problem open,prove,3,1,4,The question of whether every Cayley graph is Hamiltonian remains open in general.,"The question of whether every Cayley graph is Hamiltonian remains open in general. Since the problem was posted, Groenland et al. proved that every connected vertex-transitive graph on $n$ vertices contains a cycle of length $\Omega(n^{13/21})$; a 2024 preprint by Nakanishi claims to prove Hamiltonicity for all odd-order connected vertex-transitive graphs (hence all Cayley graphs of odd-order groups), though the preprint remains unreviewed; and Bedert et al. (2026) established the conjecture for all Cayley graphs of degree $d \ge n^{1-c}$."
high_connectivity_no_k_n,Highly connected graphs with no K_n minor,http://www.openproblemgarden.org/op/high_connectivity_no_k_n,Graph Theory > Basic Graph Theory > Minors,High,high,2026-05-08,2,mixed: important cases solved; full problem open,prove,3,1,4,Thomas's question (whether every sufficiently large $n$-connected graph without a $K_n$ minor has $n-5$ vertices whose deletion leaves a planar graph) remains open for $n \ge 7$.,"Thomas's question (whether every sufficiently large $n$-connected graph without a $K_n$ minor has $n-5$ vertices whose deletion leaves a planar graph) remains open for $n \ge 7$. The crucial $n=6$ case — Jorgensen's conjecture, that every 6-connected graph with no $K_6$ minor is apex — was verified for *sufficiently large* graphs by Kawarabayashi, Norine, Thomas, and Wollan (2012). It was also proved for graphs of order 12 (Albar–Gonçalves, 2020) and for graphs of girth at least 6, but the full Jorgensen conjecture for all 6-connected graphs is still unresolved."
imbalance_conjecture,Imbalance conjecture,http://www.openproblemgarden.org/op/imbalance_conjecture,Graph Theory,Medium,high,2026-05-08,2,yes: full/general case open,prove,3,1,3,The imbalance conjecture remains open.,"The imbalance conjecture remains open. Partial results confirm that $M_G$ is graphic for trees, unicyclic graphs, antiregular graphs, complete extensions of paths/cycles/complete graphs, and several classes of block graphs. The most recent work (Kozerenko–Serdiuk, Opuscula Math. 2023) substantially extends this list but does not resolve the general conjecture."
infinite_uniquely_hamiltonian_graphs,Infinite uniquely hamiltonian graphs,http://www.openproblemgarden.org/op/infinite_uniquely_hamiltonian_graphs,Graph Theory > Infinite Graphs,Medium,medium,2026-05-08,3,mixed: important cases solved; full problem open,prove,4,1,2,"The problem remains open in general, but significant partial results have been obtained.","The problem remains open in general, but significant partial results have been obtained. Pitz (2018) proved that every one-ended Hamiltonian cubic graph with end degree 3 contains a second Hamilton circle, ruling out uniquely Hamiltonian 1-ended cubic regular graphs (with end degree 3). Miraftab and Morris (2023, JGT 2025) characterized all uniquely Hamiltonian vertex-transitive graphs with finitely many ends, finding that no one-ended vertex-transitive regular graph of degree $r > 2$ is uniquely Hamiltonian; meanwhile Heuer (2018) showed that regular infinite graphs with a unique Hamilton circle do exist, but only with infinitely many ends, leaving Mohar's original 1-ended question open for non-vertex-transitive regular graphs of degree $r > 2$."
jones_conjecture,Jones' conjecture,http://www.openproblemgarden.org/op/jones_conjecture,Graph Theory > Basic Graph Theory > Cycles,Medium,high,2026-05-08,3,mixed: important cases solved; full problem open,prove,4,1,2,"Jones' conjecture — that $cc(G) \leq 2\,cp(G)$ for every planar graph $G$ — remains open for general planar graphs, but has seen substantial partial progress since 2007.","Jones' conjecture — that $cc(G) \leq 2\,cp(G)$ for every planar graph $G$ — remains open for general planar graphs, but has seen substantial partial progress since 2007. The bound for all planar graphs was tightened from $5\,cp(G)$ to $3\,cp(G)$ by Chappell, Gimbel, and Hartman (2014), the conjecture was proved for subcubic planar graphs by Bonamy et al. (2021), and further confirmed for Halin graphs and 'based' planar graphs (those containing a face adjacent to every other face) by Bärnkopf and Győri (2024)."
